author,min,max,activity_duration
2sn,2023-02-11 13:26:42+00:00,2023-02-11 13:26:42+00:00,0.0
AlekseiNikiforovIBM,2023-03-29 15:43:29+00:00,2023-03-29 15:43:29+00:00,0.0
Algorithmist-Girl,2023-12-31 09:24:02+00:00,2023-12-31 09:24:02+00:00,0.0
BrandonSmithJ,2023-09-26 09:39:30+00:00,2023-09-26 09:39:30+00:00,0.0
BvB93,2023-02-02 15:57:44+00:00,2023-12-22 16:37:48+00:00,7752.667777777778
Carreau,2023-08-31 11:37:54+00:00,2023-12-26 19:29:10+00:00,2815.8544444444447
ChVeen,2023-03-21 22:06:02+00:00,2023-08-21 06:08:31+00:00,3656.041388888889
DWesl,2023-01-23 11:58:05+00:00,2023-11-30 20:24:39+00:00,7472.442777777777
DanShatford,2023-09-03 10:22:37+00:00,2023-09-04 16:28:20+00:00,30.095277777777778
Developer-Ecosystem-Engineering,2022-08-23 19:35:38+00:00,2023-08-31 08:47:59+00:00,8941.205833333333
DhavalParmar61,2023-05-08 10:46:11+00:00,2023-07-31 15:44:32+00:00,2020.9725
DimitriPapadopoulos,2021-10-07 09:40:00+00:00,2023-10-25 22:12:17+00:00,17964.538055555557
Exaphis,2023-06-12 05:23:15+00:00,2023-06-12 05:26:23+00:00,0.052222222222222225
F3eQnxN3RriK,2023-02-24 06:47:48+00:00,2023-12-31 19:28:37+00:00,7452.6802777777775
FFY00,2023-08-14 14:28:17+00:00,2023-08-14 14:28:17+00:00,0.0
Flamefire,2023-12-12 15:20:17+00:00,2023-12-13 11:34:07+00:00,20.230555555555554
FrancescElies,2023-02-17 11:44:54+00:00,2023-02-21 13:50:04+00:00,98.08611111111111
Hank0626,2023-06-19 11:28:30+00:00,2023-06-19 11:28:30+00:00,0.0
HaoZeke,2022-11-23 05:25:15+00:00,2023-12-16 23:27:28+00:00,9330.036944444444
Illviljan,2023-11-13 22:12:40+00:00,2023-11-13 22:12:40+00:00,0.0
InessaPawson,2023-02-28 19:02:40+00:00,2023-02-28 19:02:40+00:00,0.0
JanukanS,2023-06-01 11:56:15+00:00,2023-06-01 11:56:15+00:00,0.0
JoryKlaverstijn,2023-03-31 14:38:15+00:00,2023-03-31 14:38:15+00:00,0.0
JulesKouatchou,2023-04-23 02:53:11+00:00,2023-04-26 12:29:08+00:00,81.59916666666666
Kai-Striega,2023-06-21 07:54:59+00:00,2023-06-29 05:29:39+00:00,189.57777777777778
KrisMinchev,2023-09-19 10:43:50+00:00,2023-09-19 13:36:48+00:00,2.8827777777777777
KybernetikJo,2023-07-21 15:45:03+00:00,2023-12-21 23:03:31+00:00,3679.3077777777776
LeonaTaric,2023-01-09 11:02:05+00:00,2023-01-09 11:02:05+00:00,0.0
LoveEatCandy,2023-05-09 10:09:39+00:00,2023-05-09 10:09:39+00:00,0.0
MashyBasker,2023-06-26 11:08:32+00:00,2023-06-26 11:08:32+00:00,0.0
MatteoRaso,2023-01-18 07:25:00+00:00,2023-04-02 03:11:26+00:00,1771.773888888889
Micky774,2023-04-08 18:27:25+00:00,2023-04-08 18:27:25+00:00,0.0
Mike-gag,2023-03-19 19:26:17+00:00,2023-03-19 19:26:17+00:00,0.0
MikiPWata,2023-03-02 00:09:50+00:00,2023-03-02 00:09:50+00:00,0.0
MohitKumar020291,2023-06-27 07:10:07+00:00,2023-06-28 09:11:44+00:00,26.026944444444446
Mousius,2023-04-17 12:45:32+00:00,2023-12-21 16:07:33+00:00,5955.366944444444
MuhammadNizamani,2023-04-04 13:03:43+00:00,2023-04-04 13:03:43+00:00,0.0
Mukulikaa,2023-01-09 17:38:36+00:00,2023-07-09 15:26:12+00:00,4341.793333333333
Neilblaze,2023-03-31 05:38:54+00:00,2023-03-31 05:38:54+00:00,0.0
OverLordGoldDragon,2023-12-30 22:13:34+00:00,2023-12-30 22:13:34+00:00,0.0
PLameiras,2023-03-28 09:31:54+00:00,2023-03-28 09:31:54+00:00,0.0
Phlogistique,2023-01-27 18:39:38+00:00,2023-01-27 18:39:38+00:00,0.0
RonaldAJ,2023-07-07 05:57:37+00:00,2023-07-07 05:57:37+00:00,0.0
SUPERustam,2023-01-06 10:41:47+00:00,2023-01-06 10:41:47+00:00,0.0
Sarah-Yifei-Wang,2023-12-31 17:10:10+00:00,2023-12-31 17:10:10+00:00,0.0
SigureMo,2023-12-22 08:07:26+00:00,2023-12-22 08:07:26+00:00,0.0
TheHawz,2023-12-18 18:59:42+00:00,2023-12-18 18:59:42+00:00,0.0
Unessam,2023-02-26 15:21:56+00:00,2023-04-28 11:16:38+00:00,1459.9116666666666
WarrenWeckesser,2023-02-16 12:14:32+00:00,2023-08-06 17:16:00+00:00,4109.024444444444
