login,commits,percent_contribution
charris,6589,19.294854900582738
seberg,2822,8.263785176725525
mattip,2710,7.93581071188029
teoliphant,2065,6.0470291955840585
cournape,1525,4.465723740080237
rgommers,1367,4.003045477173563
eric-wieser,1239,3.6282175173504347
pearu,1107,3.2416761837828343
pv,817,2.3924565873085597
mwiebe,759,2.2226126680137046
juliantaylor,740,2.166974142727459
ngoldbaum,612,1.792146182904331
stefanv,531,1.5549503645787577
njsmith,339,0.9927084248440657
mhvk,329,0.9634249904828838
HaoZeke,312,0.9136431520688746
r-devulap,291,0.8521479399103927
seiko2plus,278,0.8140794752408562
ahaldane,264,0.7730826671352016
jaimefrio,257,0.7525842630823742
bashtage,252,0.7379425459017833
asmeurer,250,0.732085859029547
eric-jones,248,0.7262291721573105
WarrenWeckesser,244,0.7145157984128379
rkern,242,0.7086591115406016
dependabot[bot],217,0.6354505256376468
mtsokol,213,0.623737151893174
pierregm,199,0.5827403437875194
shoyer,196,0.5739553134791648
rossbar,181,0.530030161937392
tylerjereddy,181,0.530030161937392
melissawm,176,0.515388444756801
lysnikolaou,175,0.5124601013206829
jorenham,150,0.43925151541772817
jarrodmillman,147,0.4304664851093736
ganesh-k13,144,0.42168145480101904
jayvius,127,0.37189961638700986
DimitriPapadopoulos,120,0.35140121233418253
Qiyu8,119,0.3484728688980644
dependabot-preview[bot],109,0.3191894345368825
matthew-brett,104,0.30454771735629155
F3eQnxN3RriK,94,0.27526428299510963
abalkin,91,0.2664792526867551
czgdp1807,90,0.2635509092506369
eendebakpt,86,0.25183753550616417
wfspotz,73,0.21376907083662774
cgohlke,70,0.20498404052827318
hameerabbasi,68,0.1991273536560368
bjnath,67,0.1961990102199186
linus-md,66,0.1932706667838004
andyfaff,65,0.1903423233476822
Developer-Ecosystem-Engineering,65,0.1903423233476822
larsmans,64,0.18741397991156403
tacaswell,64,0.18741397991156403
Carreau,62,0.18155729303932763
xoviat,60,0.17570060616709127
MSeifert04,58,0.1698439192948549
87,56,0.16398723242261853
ev-br,54,0.15813054555038217
MilesCranmer,54,0.15813054555038217
sethtroisi,53,0.15520220211426397
certik,52,0.15227385867814577
jakirkham,52,0.15227385867814577
alexbrc,52,0.15227385867814577
pentschev,50,0.1464171718059094
endolith,50,0.1464171718059094
mdhaber,49,0.1434888283697912
anntzer,48,0.140560484933673
madphysicist,48,0.140560484933673
BvB93,47,0.13763214149755482
gfyoung,47,0.13763214149755482
luxedo,47,0.13763214149755482
takanori-pskq,47,0.13763214149755482
DWesl,46,0.13470379806143665
Mukulikaa,45,0.13177545462531845
mdboom,43,0.12591876775308208
person142,41,0.12006208088084569
bsipocz,40,0.11713373744472752
hmaarrfk,36,0.10542036370025476
kritisingh1,34,0.0995636768280184
agriyakhetarpal,34,0.0995636768280184
serge-sans-paille,33,0.0966353333919002
Mousius,32,0.09370698995578201
pdebuyl,32,0.09370698995578201
huard,32,0.09370698995578201
lagru,31,0.09077864651966382
mwtoews,31,0.09077864651966382
bharatr21,31,0.09077864651966382
m-d-w,30,0.08785030308354563
dwf,30,0.08785030308354563
timleslie,29,0.08492195964742745
ewmoore,28,0.08199361621130927
liang3zy22,27,0.07906527277519108
JuliaPoo,27,0.07906527277519108
zoj613,26,0.07613692933907289
ericmariasis,25,0.0732085859029547
jbrockmendel,25,0.0732085859029547
chanley,25,0.0732085859029547
zerothi,25,0.0732085859029547
anirudh2290,24,0.0702802424668365
j-towns,24,0.0702802424668365
hoodmane,24,0.0702802424668365
nouiz,24,0.0702802424668365
chatcannon,24,0.0702802424668365
arinkverma,23,0.06735189903071832
cowlicks,23,0.06735189903071832
thomasjpfan,23,0.06735189903071832
MarsBarLee,22,0.06442355559460013
bmwoodruff,22,0.06442355559460013
cmarmo,22,0.06442355559460013
fperez,22,0.06442355559460013
hugovk,21,0.06149521215848194
trallard,21,0.06149521215848194
ahojnnes,21,0.06149521215848194
xiegengxin,20,0.05856686872236376
