path,size,extension
.cirrus.star,1842,star
.clang-format,1133,clang-format
.codecov.yml,230,yml
.coveragerc,75,coveragerc
.ctags.d,19,d
.editorconfig,629,editorconfig
.gitattributes,2430,gitattributes
.gitignore,2289,gitignore
.gitmodules,882,gitmodules
.mailmap,38039,mailmap
citation.bib,896,bib
contributing.rst,658,rst
install.rst,5351,rst
license.txt,1543,txt
licenses_bundled.txt,974,txt
readme.md,3978,md
thanks.txt,3251,txt
azure-pipelines.yml,2997,yml
azure-steps-windows.yml,2133,yml
building_with_meson.md,1869,md
environment.yml,1007,yml
meson.build,3505,build
meson.options,2646,options
pavement.py,5115,py
pyproject.toml,7296,toml
pytest.ini,1215,ini
.circleci/config.yml,5303,yml
.devcontainer/devcontainer.json,322,json
.devcontainer/setup.sh,485,sh
.github/contributing.md,1660,md
.github/pull_request_template.md,724,md
.github/dependabot.yml,192,yml
.github/pr-prefix-labeler.yml,377,yml
.spin/license,1539,spin/license
.spin/cmds.py,22018,py
benchmarks/readme.rst,4392,rst
benchmarks/asv.conf.json,3451,json
benchmarks/asv_compare.conf.json.tpl,4129,tpl
benchmarks/asv_pip_nopep517.py,498,py
doc/branch_walkthrough.rst,2501,rst
doc/c_style_guide.rst,144,rst
doc/distutils.rst,23073,rst
doc/example_docstring.rst,3462,rst
doc/howto_document.rst,110,rst
doc/howto_release.rst,8595,rst
doc/makefile,7947,no_extension
doc/release_walkthrough.rst,14261,rst
doc/tests.rst,14505,rst
doc/conftest.py,942,py
doc/make.bat,1799,bat
doc/postprocess.py,1305,py
doc/preprocess.py,1452,py
doc/records.rst,3385,rst
doc/ufuncs.rst,3931,rst
meson_cpu/main_config.h.in,13856,in
meson_cpu/meson.build,10127,build
numpy/__config__.py.in,5146,in
numpy/__init__.cython-30.pxd,46396,pxd
numpy/__init__.pxd,43030,pxd
numpy/__init__.py,22139,py
numpy/__init__.pyi,175139,pyi
numpy/_array_api_info.py,10381,py
numpy/_array_api_info.pyi,4892,pyi
numpy/_configtool.py,1007,py
numpy/_distributor_init.py,407,py
numpy/_expired_attrs_2_0.py,3903,py
numpy/_globals.py,3090,py
numpy/_pytesttester.py,6287,py
numpy/_pytesttester.pyi,497,pyi
numpy/conftest.py,7987,py
numpy/ctypeslib.py,18878,py
numpy/ctypeslib.pyi,8146,pyi
numpy/dtypes.py,1312,py
numpy/dtypes.pyi,14798,pyi
numpy/exceptions.py,7866,py
numpy/exceptions.pyi,751,pyi
numpy/matlib.py,10657,py
numpy/meson.build,13758,build
numpy/py.typed,0,typed
numpy/version.pyi,388,pyi
requirements/all_requirements.txt,153,txt
requirements/build_requirements.txt,57,txt
requirements/ci32_requirements.txt,79,txt
requirements/ci_requirements.txt,110,txt
requirements/doc_requirements.txt,395,txt
requirements/emscripten_test_requirements.txt,65,txt
requirements/linter_requirements.txt,38,txt
requirements/release_requirements.txt,317,txt
requirements/test_requirements.txt,608,txt
tools/changelog.py,4520,py
tools/check_installed_files.py,4015,py
tools/check_openblas_version.py,494,py
tools/commitstats.py,726,py
tools/download-wheels.py,3725,py
tools/find_deprecated_escaped_characters.py,1916,py
tools/functions_missing_types.py,3044,py
tools/lint_diff.ini,250,ini
tools/linter.py,2576,py
tools/list_installed_dll_dependencies_cygwin.sh,1366,sh
tools/list_numpy_dlls.sh,316,sh
tools/rebase_installed_dlls_cygwin.sh,232,sh
tools/refguide_check.py,18759,py
tools/replace_old_macros.sed,5706,sed
vendored-meson/meson,0,no_extension
.github/issue_template/bug-report.yml,2229,yml
.github/issue_template/config.yml,406,yml
.github/issue_template/documentation.yml,878,yml
.github/issue_template/feature-request.yml,880,yml
.github/issue_template/post-install.yml,1103,yml
.github/issue_template/typing.yml,1961,yml
.github/meson_actions/action.yml,1049,yml
.github/workflows/circleci.yml,893,yml
.github/workflows/codeql.yml,2720,yml
.github/workflows/cygwin.yml,3195,yml
.github/workflows/dependency-review.yml,979,yml
.github/workflows/emscripten.yml,3018,yml
.github/workflows/labeler.yml,462,yml
.github/workflows/linux.yml,11305,yml
.github/workflows/linux_blas.yml,13332,yml
.github/workflows/linux_compiler_sanitizers.yml,1828,yml
.github/workflows/linux_musl.yml,2179,yml
.github/workflows/linux_qemu.yml,7364,yml
.github/workflows/linux_simd.yml,8953,yml
.github/workflows/macos.yml,4574,yml
.github/workflows/mypy.yml,1935,yml
.github/workflows/scorecards.yml,2045,yml
.github/workflows/wheels.yml,12289,yml
.github/workflows/windows.yml,3586,yml
.github/workflows/windows_arm64.yml,7639,yml
benchmarks/benchmarks/__init__.py,1860,py
benchmarks/benchmarks/bench_app.py,2669,py
benchmarks/benchmarks/bench_array_coercion.py,1653,py
benchmarks/benchmarks/bench_clip.py,926,py
benchmarks/benchmarks/bench_core.py,7946,py
benchmarks/benchmarks/bench_creation.py,2015,py
benchmarks/benchmarks/bench_function_base.py,10353,py
benchmarks/benchmarks/bench_import.py,838,py
benchmarks/benchmarks/bench_indexing.py,3834,py
benchmarks/benchmarks/bench_io.py,7909,py
benchmarks/benchmarks/bench_itemselection.py,1730,py
benchmarks/benchmarks/bench_lib.py,6204,py
benchmarks/benchmarks/bench_linalg.py,7445,py
benchmarks/benchmarks/bench_ma.py,9933,py
benchmarks/benchmarks/bench_manipulate.py,3194,py
benchmarks/benchmarks/bench_overrides.py,1786,py
benchmarks/benchmarks/bench_polynomial.py,805,py
benchmarks/benchmarks/bench_random.py,5428,py
benchmarks/benchmarks/bench_records.py,1403,py
benchmarks/benchmarks/bench_reduce.py,2832,py
benchmarks/benchmarks/bench_scalar.py,2337,py
benchmarks/benchmarks/bench_shape_base.py,5209,py
benchmarks/benchmarks/bench_strings.py,1233,py
benchmarks/benchmarks/bench_trim_zeros.py,607,py
benchmarks/benchmarks/bench_ufunc.py,18098,py
benchmarks/benchmarks/bench_ufunc_strides.py,7321,py
benchmarks/benchmarks/common.py,5551,py
branding/logo/logoguidelines.md,1428,md
doc/changelog/1.12.0-changelog.rst,46600,rst
doc/changelog/1.12.1-changelog.rst,2005,rst
doc/changelog/1.13.0-changelog.rst,34293,rst
doc/changelog/1.13.1-changelog.rst,2481,rst
doc/changelog/1.13.2-changelog.rst,2707,rst
doc/changelog/1.13.3-changelog.rst,4942,rst
doc/changelog/1.14.0-changelog.rst,42702,rst
doc/changelog/1.14.1-changelog.rst,4486,rst
doc/changelog/1.14.2-changelog.rst,880,rst
doc/changelog/1.14.3-changelog.rst,1280,rst
doc/changelog/1.14.4-changelog.rst,1619,rst
doc/changelog/1.14.5-changelog.rst,459,rst
doc/changelog/1.14.6-changelog.rst,746,rst
doc/changelog/1.15.0-changelog.rst,49813,rst
doc/changelog/1.15.1-changelog.rst,2922,rst
doc/changelog/1.15.2-changelog.rst,795,rst
doc/changelog/1.15.3-changelog.rst,1595,rst
doc/changelog/1.15.4-changelog.rst,750,rst
doc/changelog/1.16.0-changelog.rst,54983,rst
doc/changelog/1.16.1-changelog.rst,4194,rst
doc/changelog/1.16.2-changelog.rst,1125,rst
doc/changelog/1.16.3-changelog.rst,3327,rst
doc/changelog/1.16.4-changelog.rst,2174,rst
doc/changelog/1.16.5-changelog.rst,3060,rst
doc/changelog/1.16.6-changelog.rst,1887,rst
doc/changelog/1.17.0-changelog.rst,59866,rst
doc/changelog/1.17.1-changelog.rst,3326,rst
doc/changelog/1.17.2-changelog.rst,1243,rst
doc/changelog/1.17.3-changelog.rst,1717,rst
doc/changelog/1.17.4-changelog.rst,1222,rst
doc/changelog/1.17.5-changelog.rst,1113,rst
doc/changelog/1.18.0-changelog.rst,47063,rst
doc/changelog/1.18.1-changelog.rst,1748,rst
doc/changelog/1.18.2-changelog.rst,1068,rst
doc/changelog/1.18.3-changelog.rst,954,rst
doc/changelog/1.18.4-changelog.rst,966,rst
doc/changelog/1.18.5-changelog.rst,515,rst
doc/changelog/1.19.0-changelog.rst,54915,rst
doc/changelog/1.19.1-changelog.rst,3086,rst
doc/changelog/1.19.2-changelog.rst,1402,rst
doc/changelog/1.19.3-changelog.rst,1483,rst
doc/changelog/1.19.4-changelog.rst,487,rst
doc/changelog/1.19.5-changelog.rst,1589,rst
doc/changelog/1.20.0-changelog.rst,79248,rst
doc/changelog/1.20.1-changelog.rst,2006,rst
doc/changelog/1.20.2-changelog.rst,2577,rst
doc/changelog/1.20.3-changelog.rst,2066,rst
doc/changelog/1.21.0-changelog.rst,65862,rst
doc/changelog/1.21.1-changelog.rst,3338,rst
doc/changelog/1.21.2-changelog.rst,2410,rst
doc/changelog/1.21.3-changelog.rst,1324,rst
doc/changelog/1.21.4-changelog.rst,1379,rst
doc/changelog/1.21.5-changelog.rst,1641,rst
doc/changelog/1.21.6-changelog.rst,389,rst
doc/changelog/1.22.0-changelog.rst,69326,rst
doc/changelog/1.22.1-changelog.rst,2706,rst
doc/changelog/1.22.2-changelog.rst,2839,rst
doc/changelog/1.22.3-changelog.rst,1538,rst
doc/changelog/1.22.4-changelog.rst,2770,rst
doc/changelog/1.23.0-changelog.rst,56146,rst
doc/changelog/1.23.1-changelog.rst,1321,rst
doc/changelog/1.23.2-changelog.rst,2107,rst
doc/changelog/1.23.3-changelog.rst,2028,rst
doc/changelog/1.23.4-changelog.rst,1814,rst
doc/changelog/1.23.5-changelog.rst,1482,rst
doc/changelog/1.24.0-changelog.rst,52281,rst
doc/changelog/1.24.1-changelog.rst,2449,rst
doc/changelog/1.24.2-changelog.rst,2418,rst
doc/changelog/1.24.3-changelog.rst,2423,rst
doc/changelog/1.24.4-changelog.rst,991,rst
doc/changelog/1.25.0-changelog.rst,60335,rst
doc/changelog/1.25.1-changelog.rst,1958,rst
doc/changelog/1.25.2-changelog.rst,2455,rst
doc/changelog/1.26.0-changelog.rst,6991,rst
doc/changelog/1.26.1-changelog.rst,2682,rst
doc/changelog/1.26.2-changelog.rst,3262,rst
doc/changelog/1.26.3-changelog.rst,5281,rst
doc/changelog/1.26.4-changelog.rst,2525,rst
doc/changelog/2.0.0-changelog.rst,121468,rst
doc/changelog/2.0.1-changelog.rst,3187,rst
doc/changelog/2.0.2-changelog.rst,2566,rst
doc/changelog/2.1.0-changelog.rst,53345,rst
doc/changelog/2.1.1-changelog.rst,1523,rst
doc/changelog/2.1.2-changelog.rst,1963,rst
doc/neps/.gitignore,86,gitignore
doc/neps/makefile,760,no_extension
doc/neps/accepted.rst.tmpl,246,tmpl
doc/neps/conf.py,5619,py
doc/neps/content.rst,637,rst
doc/neps/deferred.rst.tmpl,234,tmpl
doc/neps/finished.rst.tmpl,185,tmpl
doc/neps/index.rst,798,rst
doc/neps/meta.rst.tmpl,271,tmpl
doc/neps/nep-0000.rst,11921,rst
doc/neps/nep-0001-npy-format.rst,12080,rst
doc/neps/nep-0002-warnfix.rst,2940,rst
doc/neps/nep-0003-math_config_clean.rst,2910,rst
doc/neps/nep-0004-datetime-proposal3.rst,19125,rst
