contributor,closed_issues_count
numpy-gitbot,1565
thouis,595
charris,351
eric-wieser,207
seberg,156
mattip,125
rgommers,100
ghost,73
mhvk,68
anntzer,68
ngoldbaum,63
WarrenWeckesser,60
jakirkham,55
njsmith,49
gerritholl,45
shoyer,45
argriffing,44
pitrou,42
pv,39
sandrotosi,36
BvB93,34
matthew-brett,34
jaimefrio,31
HaoZeke,31
tylerjereddy,31
astrofrog,30
juliantaylor,30
nschloe,29
rossbar,28
abalkin,27
bashtage,25
certik,24
larsoner,23
keithbriggs,22
melissawm,20
2sn,19
jakevdp,19
NeilGirdhar,19
h-vetinari,19
ogrisel,18
lesteve,18
Snape3058,17
bersbersbers,17
cgohlke,17
mdickinson,17
asmeurer,14
bjnath,14
jreback,13
bmerry,13
andyfaff,12
jbrockmendel,12
kohr-h,12
adeak,12
toslunar,11
taldcroft,11
mtsokol,11
ahaldane,11
neutrinoceros,11
lysnikolaou,11
madphysicist,10
honno,10
jzwinck,10
rkern,10
hmaarrfk,10
inducer,10
david-cortes,10
rainwoodman,10
InessaPawson,10
bsipocz,10
rth,10
bhavukkalra,9
stefanv,9
hawkinsp,9
mwtoews,9
homocomputeris,9
Carreau,9
Mukulikaa,9
oleksandr-pavlyk,9
anirudh2290,9
QuLogic,8
lebigot,8
chatcannon,8
MSeifert04,8
dimpase,8
maxnoe,8
person142,8
olebole,8
adamjstewart,8
sturlamolden,8
stuartarchibald,8
gfyoung,8
effigies,7
aamster,7
zoj613,7
pllim,7
dstansby,7
astrojuanlu,7
mdhaber,7
timhoffm,7
megies,7
twoertwein,7
endolith,7
hameerabbasi,7
didickman,7
mattharrigan,7
Qiyu8,7
AgilentGCMS,7
ganesh-k13,7
yarikoptic,7
limburgher,6
will133,6
jluttine,6
eendebakpt,6
mreineck,6
fonnesbeck,6
mw66,6
leofang,6
Illviljan,6
kwgoodman,6
cowlicks,6
seiko2plus,6
mgorny,6
mrocklin,6
kloczek,6
larsmans,6
Shekharrajak,5
danielhrisca,5
Gabriel-p,5
alimuldal,5
grlee77,5
lpsinger,5
tadeu,5
beew,5
Dan-Patterson,5
henon,5
axil,5
cooperrc,5
peterbell10,5
jfbu,5
horta,5
bnavigator,5
jorisvandenbossche,5
suuuehgi,5
TomAugspurger,5
lzkelley,5
cournape,5
GaelVaroquaux,5
Zac-HD,5
Jacob-Stevens-Haas,5
capybaralet,5
awen-li,5
MechCoder,5
amueller,5
mcara,5
dhermes,5
akhmerov,5
jorenham,4
rougier,4
lorentzenchr,4
jcrist,4
mitar,4
dmbelov,4
tillahoffmann,4
jseabold,4
jjhelmus,4
saimn,4
jnothman,4
byrdie,4
cdeil,4
hpaulj,4
pchanial,4
danbeibei,4
fjarri,4
EricCousineau-TRI,4
behzadnouri,4
virtuald,4
MichaelClerx,4
babaralishah,4
ndjensen,4
lagru,4
aerobio,4
ketch,4
d1manson,4
mathomp4,4
mgeier,4
hroncok,4
sunqm,4
ax3l,4
MarsBarLee,4
LukasAdamowicz,4
mroeschke,4
briantoby,4
opoplawski,4
kgabor,4
lithomas1,4
samuelstjean,4
ddasilva,4
moorepants,4
aixtools,4
nouiz,4
Strilanc,4
sashkab,4
clin1234,4
cancan101,4
KelSolaar,4
soupault,4
henryiii,4
absoult-dev,4
burlen,4
bfroehle,4
matoro,4
ev-br,4
ilayn,4
Dominik1123,4
fandreuz,4
erg,4
godaygo,4
mforbes,4
Stardust1225,4
vmarkovtsev,4
pkomiske,4
Didou09,4
petered,4
mwaskom,4
DimitriPapadopoulos,4
callegar,4
