contributor,issues_count
numpy-gitbot,1595
thouis,611
charris,382
eric-wieser,307
seberg,201
mattip,167
rgommers,120
anntzer,102
mhvk,89
ngoldbaum,86
ghost,80
jakirkham,80
WarrenWeckesser,74
gerritholl,57
HaoZeke,56
shoyer,56
argriffing,54
njsmith,53
pitrou,46
pv,45
nschloe,43
BvB93,40
abalkin,39
matthew-brett,39
tylerjereddy,39
rossbar,38
sandrotosi,36
jaimefrio,35
astrofrog,35
juliantaylor,34
bashtage,30
2sn,28
h-vetinari,28
NeilGirdhar,25
certik,24
melissawm,24
keithbriggs,24
larsoner,23
jbrockmendel,23
jakevdp,22
Snape3058,21
asmeurer,21
mdickinson,21
ahaldane,20
bersbersbers,19
lesteve,19
ogrisel,18
cgohlke,17
toslunar,16
bmerry,16
david-cortes,16
bjnath,15
InessaPawson,15
jreback,15
inducer,15
lysnikolaou,14
taldcroft,14
adeak,14
hawkinsp,13
maxnoe,13
honno,13
hmaarrfk,13
timhoffm,13
bsipocz,13
neutrinoceros,12
ganesh-k13,12
mwtoews,12
madphysicist,12
kohr-h,12
QuLogic,12
andyfaff,12
rth,11
Carreau,11
rainwoodman,11
endolith,11
Mukulikaa,11
mtsokol,11
bhavukkalra,10
homocomputeris,10
hameerabbasi,10
jzwinck,10
oleksandr-pavlyk,10
chatcannon,10
anirudh2290,10
stefanv,10
stuartarchibald,10
rkern,10
megies,9
person142,9
lebigot,9
mattharrigan,9
eendebakpt,9
adamjstewart,9
Qiyu8,9
MSeifert04,9
didickman,8
Zac-HD,8
gfyoung,8
ewmoore,8
EricCousineau-TRI,8
ZisIsNotZis,8
sturlamolden,8
yarikoptic,8
dmbelov,8
dimpase,8
mdhaber,8
axil,8
larsmans,8
mrocklin,8
astrojuanlu,8
pllim,8
mreineck,8
jorisvandenbossche,8
olebole,8
AgilentGCMS,8
dstansby,8
Illviljan,7
bnavigator,7
zoj613,7
lzkelley,7
aamster,7
seiko2plus,7
r-devulap,7
danielhrisca,7
twoertwein,7
will133,7
effigies,7
leofang,7
kwgoodman,6
ev-br,6
petered,6
mw66,6
limburgher,6
mgorny,6
ax3l,6
fonnesbeck,6
fengluoqiuwu,6
amueller,6
kloczek,6
alimuldal,6
jluttine,6
pearu,6
EwoutH,6
randolf-scholz,6
jcrist,6
crusaderky,6
jnothman,6
cowlicks,6
jjhelmus,6
Kai-Striega,6
lpsinger,6
godaygo,6
oscargus,6
toddrjen,6
akhmerov,6
lagru,6
jorenham,6
adrinjalali,6
grlee77,6
attack68,5
takluyver,5
Jacob-Stevens-Haas,5
Shekharrajak,5
cournape,5
dhermes,5
MechCoder,5
Dan-Patterson,5
Strilanc,5
DimitriPapadopoulos,5
MarsBarLee,5
henon,5
pbrod,5
sashkab,5
hroncok,5
opoplawski,5
FirefoxMetzger,5
GaelVaroquaux,5
erg,5
mruberry,5
cooperrc,5
tadeu,5
nouiz,5
jseabold,5
goerz,5
mcara,5
hhoppe,5
MarkWieczorek,5
jfbu,5
peterbell10,5
TomAugspurger,5
horta,5
mocquin,5
lorentzenchr,5
beew,5
vmarkovtsev,5
ilayn,5
mwaskom,5
mitar,5
perimosocordiae,5
pkomiske,5
Gabriel-p,5
Dominik1123,5
awen-li,5
fujiisoup,5
Gattocrucco,5
Stardust1225,5
capybaralet,5
suuuehgi,5
byrdie,4
burlen,4
l-johnston,4
mdehoon,4
mlondschien,4
xkszltl,4
gdementen,4
fandreuz,4
soupault,4
samfux84,4
aschaffer,4
alanhdu,4
teoliphant,4
Alexander-Shukaev,4
xor2k,4
clbarnes,4
miccoli,4
virtuald,4
tillahoffmann,4
aldanor,4
mdboom,4
ml31415,4
rougier,4
ketch,4
behzadnouri,4
bobeldering,4
ndjensen,4
ischwabacher,4
jonashaag,4
henryiii,4
d1manson,4
frejanordsiek,4
dsm054,4
clin1234,4
skoehler,4
naught101,4
KelSolaar,4
vadimkantorov,4
cancan101,4
anuppari,4
hdkire,4
egesip,4
rsokl,4
mgeier,4
mingwandroid,4
matoro,4
kalvdans,4
cpelley,4
oscarbenjamin,4
guziy,4
saimn,4
briantoby,4
djhoese,4
sklam,4
aixtools,4
ivirshup,4
mforbes,4
keflavich,4
pijyoi,4
carlosgmartin,4
mamikonyan,4
lithomas1,4
hpaulj,4
ddasilva,4
danbeibei,4
tacaswell,4
Didou09,4
keewis,4
FreddieWitherden,4
absoult-dev,4
moorepants,4
embray,4
mortonjt,4
babaralishah,4
pchanial,4
david-zwicker,4
aerobio,4
LevN0,4
sunqm,4
LukasAdamowicz,4
munael,4
dopplershift,4
samuelstjean,4
Felix-neko,4
mroeschke,4
cdeil,4
MichaelClerx,4
callegar,4
fjarri,4
mathomp4,4
bfroehle,4
kgabor,4
lucianopaz,4
hchau630,4
jsaladich,4
mrjbq7,3
nonhermitian,3
jrbourbeau,3
vsbuffalo,3
gbb,3
mwiebe,3
andrenarchy,3
eagunn,3
Ganeshkumhar1,3
mtelka,3
f380cedric,3
FrankHui,3
Yukti-09,3
jakobjakobson13,3
k-kapp,3
girving,3
werenike,3
magonser,3
puspa57,3
andreas-h,3
nicolas-harraudeau-sonarsource,3
gokhalen,3
toobaz,3
luxedo,3
acdr000,3
DevinShanahan,3
GalaxySnail,3
ricardoV94,3
Semnodime,3
isuruf,3
letmaik,3
jason-s,3
garrypolley,3
drhagen,3
indiajoe,3
dmopalmer,3
OverLordGoldDragon,3
xhochy,3
gauteh,3
adler-j,3
rootsmusic,3
bje-,3
sethtroisi,3
danFromTelAviv,3
allefeld,3
zhcui,3
SylvainCorlay,3
MikhailRyazanov,3
flying-sheep,3
jolespin,3
ycopin,3
PierreAndreNoel,3
snowman2,3
rlamy,3
parrenin,3
dsaxton,3
jmrohwer,3
DavidAlphaFox,3
aifer4,3
manuels,3
rstoneback,3
jor-,3
paddyroddy,3
congma,3
alan-isaac,3
Elaphurus,3
moi90,3
mkoeppe,3
fgregg,3
sandipmgiri,3
cpaulik,3
paugier,3
Erotemic,3
Jeyaanand,3
tantrev,3
david-hoffman,3
arares,3
vkhodygo,3
saullocastro,3
idfah,3
mhauru,3
koyuki7w,3
alex77g2,3
dibnob44,3
flexatone,3
ypatel55,3
sursu,3
ringsaturn,3
PhilipDeegan,3
linus-md,3
pezcore,3
jeffyancey,3
theaverageguy,3
kconnour,3
ShivKJ,3
ray306,3
mpconte,3
btel,3
Harshavardhan-tech,3
iperov,3
tomerh2001,3
skuschel,3
den-run-ai,3
simongibbons,3
arokem,3
TeusEE,3
duburcqa,3
batterseapower,3
oricou,3
roger-,3
PeterTillema,3
phofl,3
jsolbrig,3
sbyrnes321,3
arogozhnikov,3
louisabraham,3
FrozenBob,3
joergdietrich,3
fayeshine,3
0-wiz-0,3
maxwell-aladago,3
dcolascione,3
solarjoe,3
skrah,3
hugovk,3
kritisingh1,3
zerothi,3
rspadim,3
corneliusroemer,3
dieterv77,3
quantax-github,3
sinhrks,3
serhii-havrylov,3
agriyakhetarpal,3
jpivarski,3
rabernat,3
orenbenkiki,3
jwuttke,3
pentschev,3
javidcf,3
