label,count
['unlabeled'],3490
['00 - Bug'],924
"['00 - Bug', 'component: numpy._core']",841
"['00 - Bug', 'component: Other']",510
['04 - Documentation'],481
['33 - Question'],238
['32 - Installation'],237
"['00 - Bug', 'component: numpy.lib']",192
['57 - Close?'],144
"['00 - Bug', 'component: numpy.distutils']",130
"['00 - Bug', 'component: numpy.ma']",126
"['01 - Enhancement', 'component: numpy._core']",124
"['00 - Bug', 'component: numpy.f2py']",119
['53 - Invalid'],107
"['01 - Enhancement', 'component: Other']",90
"['00 - Bug', 'Priority: high', 'component: numpy._core']",83
"['00 - Bug', 'component: numpy.random']",77
['01 - Enhancement'],71
"['00 - Bug', 'component: documentation']",63
['50 - Duplicate'],59
['Static typing'],57
['component: build'],55
['06 - Regression'],54
"['00 - Bug', 'component: numpy.linalg']",53
"['00 - Bug', '57 - Close?']",53
"['01 - Enhancement', 'component: numpy.lib']",52
"['00 - Bug', 'Static typing']",52
['component: documentation'],45
['17 - Task'],40
"['00 - Bug', '06 - Regression']",39
['component: numpy.f2py'],37
['component: numpy.linalg'],35
"['00 - Bug', 'component: numpy.testing']",35
"['00 - Bug', 'component: build']",29
"['00 - Bug', 'Priority: high', 'component: Other']",28
['component: CI'],27
"['04 - Documentation', 'sprintable']",27
"['01 - Enhancement', 'component: numpy.random']",27
['component: numpy.distutils'],26
['component: numpy.random'],25
"['57 - Close?', '33 - Question']",24
['05 - Testing'],24
"['57 - Close?', '32 - Installation']",24
"['00 - Bug', 'component: SIMD']",23
['component: numpy._core'],22
['03 - Maintenance'],22
"['00 - Bug', 'component: numpy.dtype']",22
['29 - Intel/Anaconda'],21
['component: numpy.lib'],19
"['33 - Question', '32 - Installation']",19
"['00 - Bug', 'component: numpy.ufunc']",18
"['04 - Documentation', 'component: numpy._core']",18
"['04 - Documentation', 'component: numpy.random']",17
"['04 - Documentation', 'component: documentation']",17
"['01 - Enhancement', 'component: numpy.testing']",17
"['01 - Enhancement', 'component: numpy.f2py']",17
"['00 - Bug', 'component: numpy.fft']",16
"['06 - Regression', 'component: numpy._core']",16
"['17 - Task', 'component: Other']",16
"['01 - Enhancement', 'component: numpy.linalg']",16
"['00 - Bug', 'sprintable']",16
['component: numpy.ma'],16
"['01 - Enhancement', 'component: numpy.distutils']",15
"['00 - Bug', '50 - Duplicate']",15
['15 - Discussion'],15
"['04 - Documentation', '57 - Close?']",14
"['04 - Documentation', 'component: numpy.f2py']",14
"['01 - Enhancement', 'Static typing']",14
"['00 - Bug', '04 - Documentation']",13
"['04 - Documentation', '33 - Question']",12
"['00 - Bug', 'Priority: high', 'component: numpy.ma']",12
['14 - Release'],12
"['00 - Bug', 'Priority: high']",12
"['00 - Bug', '06 - Regression', 'component: numpy._core']",12
"['00 - Bug', 'component: numpy._core', 'Patch']",12
"['17 - Task', 'component: documentation']",12
['component: distribution'],12
"['00 - Bug', 'Priority: high', 'component: numpy.distutils']",12
['component: numpy.datetime64'],11
"['00 - Bug', 'Priority: high', 'component: numpy.lib']",11
"['00 - Bug', 'component: numpy.datetime64']",11
['07 - Deprecation'],11
"['00 - Bug', '32 - Installation']",10
"['00 - Bug', '05 - Testing']",10
"['00 - Bug', 'component: numpy._core', 'component: numpy.dtype']",10
"['04 - Documentation', 'component: numpy.lib']",10
"['17 - Task', 'component: numpy._core']",10
"['33 - Question', 'Static typing']",10
['23 - Wish List'],9
"['01 - Enhancement', 'component: documentation']",9
"['06 - Regression', 'component: numpy.lib']",9
"['00 - Bug', 'component: numpy.distutils', '57 - Close?']",9
"['component: numpy.distutils', 'component: numpy.f2py']",8
['component: numpy.polynomial'],8
"['15 - Discussion', '57 - Close?']",8
['54 - Needs decision'],8
"['04 - Documentation', 'component: numpy.linalg']",8
"['00 - Bug', 'component: npy_math']",7
"['04 - Documentation', '57 - Close?', '33 - Question']",7
"['00 - Bug', 'component: numpy.matrixlib']",7
"['53 - Invalid', '32 - Installation']",7
"['29 - Intel/Anaconda', '32 - Installation']",7
"['00 - Bug', 'component: numpy.linalg', 'Priority: high']",7
"['01 - Enhancement', 'component: build']",7
"['01 - Enhancement', 'component: numpy.ma']",7
"['17 - Task', '04 - Documentation']",6
['component: __array_function__'],6
"['00 - Bug', '04 - Documentation', 'component: numpy._core']",6
"['00 - Bug', '06 - Regression', 'component: numpy.f2py']",6
"['00 - Bug', '06 - Regression', 'component: numpy.lib']",6
['24 - PyPy'],6
"['05 - Testing', '04 - Documentation']",6
"['04 - Documentation', 'component: numpy.ma']",6
"['17 - Task', '03 - Maintenance']",6
"['00 - Bug', '29 - Intel/Anaconda']",6
"['00 - Bug', 'component: numpy._core', '54 - Needs decision']",6
['55 - Needs work'],6
"['54 - Needs decision', 'Proposal']",6
"['00 - Bug', 'component: numpy.array_api']",6
"['00 - Bug', '06 - Regression', 'component: numpy.random']",6
"['15 - Discussion', '04 - Documentation']",6
"['component: numpy.distutils', 'component: build']",6
"['01 - Enhancement', '57 - Close?']",6
"['04 - Documentation', 'Static typing']",6
"['00 - Bug', 'component: numpy.polynomial']",6
['component: numpy.fft'],6
"['component: numpy._core', 'Proposal']",6
['16 - Development'],6
"['00 - Bug', '53 - Invalid']",5
"['00 - Bug', 'Priority: high', 'component: numpy.f2py']",5
"['00 - Bug', 'component: numpy.distutils', 'component: build']",5
['component: numpy.array_api'],5
"['00 - Bug', 'C++']",5
"['17 - Task', '14 - Release']",5
"['component: numpy.linalg', '57 - Close?']",5
"['04 - Documentation', 'component: numpy.polynomial']",5
"['00 - Bug', 'component: numpy._core', '50 - Duplicate']",5
"['component: numpy.lib', 'component: documentation']",5
"['00 - Bug', 'Numpy 2.0 API Changes']",5
"['00 - Bug', 'Meson']",5
"['23 - Wish List', 'component: numpy._core']",5
"['57 - Close?', 'component: build']",5
['component: numpy.ufunc'],5
"['06 - Regression', 'component: numpy.ma']",5
"['06 - Regression', 'component: numpy.f2py']",5
"['component: numpy.f2py', '03 - Maintenance']",5
"['01 - Enhancement', 'component: numpy.fft']",5
"['23 - Wish List', 'component: numpy.lib']",4
"['00 - Bug', 'component: numpy._core', 'defunct — difficulty: Intermediate']",4
"['component: numpy._core', '54 - Needs decision']",4
"['00 - Bug', 'component: numpy.strings']",4
['62 - Python API'],4
"['06 - Regression', 'component: build']",4
"['01 - Enhancement', '23 - Wish List']",4
"['00 - Bug', 'component: numpy._core', '57 - Close?']",4
['Priority: high'],4
"['04 - Documentation', '03 - Maintenance']",4
"['00 - Bug', '07 - Deprecation']",4
['triaged'],4
['component: numpy.testing'],4
"['00 - Bug', 'component: numpy.einsum']",4
"['component: numpy.f2py', '57 - Close?']",4
"['component: numpy._core', '57 - Close?']",4
"['01 - Enhancement', '04 - Documentation']",4
['component: numpy.dtype'],4
"['component: numpy.distutils', '03 - Maintenance']",4
['Numpy 2.0 API Changes'],4
['31 - Third-party binaries'],4
"['01 - Enhancement', 'component: numpy.dtype']",4
"['01 - Enhancement', '23 - Wish List', '57 - Close?']",4
"['component: numpy.random', '33 - Question']",4
"['17 - Task', 'Static typing']",4
"['17 - Task', 'component: numpy.testing']",4
"['component: build', '32 - Installation']",4
"['17 - Task', 'component: numpy.f2py']",3
"['00 - Bug', 'component: Other', 'Patch']",3
"['00 - Bug', '06 - Regression', '57 - Close?']",3
"['00 - Bug', '06 - Regression', 'component: numpy.distutils']",3
"['00 - Bug', 'Embedded']",3
"['00 - Bug', 'Priority: high', 'component: numpy.random']",3
"['00 - Bug', '05 - Testing', 'component: numpy._core']",3
"['00 - Bug', 'component: distribution']",3
"['01 - Enhancement', 'component: CI']",3
"['00 - Bug', 'triaged']",3
['Proposal'],3
"['component: documentation', '03 - Maintenance']",3
"['06 - Regression', '54 - Needs decision']",3
"['04 - Documentation', '07 - Deprecation']",3
['component: Other'],3
"['17 - Task', 'component: numpy.distutils']",3
"['04 - Documentation', 'component: build']",3
"['00 - Bug', 'component: numpy._core', 'component: numpy.ufunc']",3
"['31 - Third-party binaries', '33 - Question']",3
"['component: numpy.random', '53 - Invalid']",3
"['05 - Testing', 'Static typing']",3
"['00 - Bug', 'component: SIMD', '36 - Build']",3
"['00 - Bug', 'component: numpy.linalg', '57 - Close?']",3
