number,state,created_at,merged_at,closed_at,title,time_to_merge
27669,closed,2024-10-30 00:36:04+00:00,2024-10-30 03:59:58+00:00,2024-10-30 03:59:58+00:00,enh: fix wasm32 runtime type error in numpy._core,3.3983333333333334
27668,closed,2024-10-30 00:31:53+00:00,2024-10-30 03:59:11+00:00,2024-10-30 03:59:11+00:00,bld: do not set __stdc_version__ to zero during build,3.455
27664,closed,2024-10-29 17:17:03+00:00,2024-10-29 20:42:26+00:00,2024-10-29 20:42:26+00:00,maint: bump actions/dependency-review-action from 4.3.5 to 4.4.0,3.4230555555555555
27663,closed,2024-10-29 16:41:14+00:00,2024-10-29 18:38:42+00:00,2024-10-29 18:38:42+00:00,maint: fix wasm32 runtime type error in numpy._core,1.9577777777777778
27661,closed,2024-10-29 02:52:01+00:00,2024-10-29 18:36:55+00:00,2024-10-29 18:36:55+00:00,bug: np.cov transpose control,15.748333333333333
27659,closed,2024-10-28 19:58:28+00:00,2024-10-29 20:52:01+00:00,2024-10-29 20:52:01+00:00,typ: transparent ``ndarray`` unary operator method signatures,24.8925
27653,closed,2024-10-28 06:22:59+00:00,2024-10-28 12:26:33+00:00,2024-10-28 12:26:33+00:00,typ: fix array api method signatures,6.059444444444445
27652,closed,2024-10-28 05:23:26+00:00,2024-10-28 12:23:28+00:00,2024-10-28 12:23:28+00:00,"typ,tst: bump ``mypy`` from ``1.11.1`` to ``1.13.0``",7.000555555555556
27650,closed,2024-10-26 22:57:24+00:00,2024-10-28 07:18:15+00:00,2024-10-28 07:18:15+00:00,bld: do not set __stdc_version__ to zero during build,32.3475
27644,closed,2024-10-25 19:31:43+00:00,2024-10-26 17:19:38+00:00,2024-10-26 17:19:38+00:00,doc: remove ambiguity in docs for ndarray.byteswap(),21.79861111111111
27634,closed,2024-10-24 17:14:00+00:00,2024-10-24 18:26:04+00:00,2024-10-24 18:26:04+00:00,maint: bump actions/setup-python from 5.2.0 to 5.3.0,1.201111111111111
27630,closed,2024-10-23 22:38:32+00:00,2024-10-28 10:26:02+00:00,2024-10-28 10:26:02+00:00,enh: extern memory management to cython,107.79166666666667
27621,closed,2024-10-22 17:27:34+00:00,2024-10-22 20:55:54+00:00,2024-10-22 20:55:54+00:00,maint: bump github/codeql-action from 3.26.13 to 3.27.0,3.4722222222222223
27620,closed,2024-10-22 17:27:24+00:00,2024-10-22 20:55:31+00:00,2024-10-22 20:55:32+00:00,maint: bump actions/dependency-review-action from 4.3.4 to 4.3.5,3.468611111111111
27619,closed,2024-10-22 17:27:22+00:00,2024-10-22 20:54:37+00:00,2024-10-22 20:54:37+00:00,maint: bump actions/cache from 4.1.1 to 4.1.2,3.4541666666666666
27617,closed,2024-10-22 15:35:17+00:00,2024-10-22 17:35:40+00:00,2024-10-22 17:35:40+00:00,doc: update the release_walkthrough.rst file.,2.006388888888889
27616,closed,2024-10-22 14:03:32+00:00,2024-10-22 15:36:40+00:00,2024-10-22 15:36:40+00:00,bug: fix linux qemu ci workflow,1.5522222222222222
27615,closed,2024-10-22 10:46:44+00:00,2024-10-22 12:46:19+00:00,2024-10-22 12:46:19+00:00,enh: fix np.insert to handle boolean arrays as masks,1.9930555555555556
27613,closed,2024-10-21 17:36:58+00:00,2024-10-22 04:00:32+00:00,2024-10-22 04:00:32+00:00,bug: fix linux qemu ci workflow,10.392777777777777
27612,closed,2024-10-21 14:48:02+00:00,2024-10-23 19:47:06+00:00,2024-10-23 19:47:06+00:00,"enh: add comments to `string_fastsearch.h` , rename some c-methods",52.98444444444444
27604,closed,2024-10-20 10:52:11+00:00,2024-10-20 14:29:56+00:00,2024-10-20 14:29:56+00:00,doc: fix rendering in docstring of nan_to_num,3.629166666666667
27602,closed,2024-10-20 04:07:09+00:00,2024-10-21 14:22:00+00:00,2024-10-21 14:22:00+00:00,update documentation for floating-point precision and determinant calculations,34.2475
27598,closed,2024-10-19 15:59:33+00:00,2024-10-19 20:17:28+00:00,2024-10-19 20:17:28+00:00,doc: add examples to ctypeslib,4.298611111111111
27595,closed,2024-10-19 03:15:03+00:00,2024-10-22 05:54:26+00:00,2024-10-22 05:54:26+00:00,doc: clarify obj parameter types in numpy.delete documentation,74.65638888888888
27593,closed,2024-10-18 23:23:00+00:00,2024-10-19 00:32:11+00:00,2024-10-19 00:32:11+00:00,bug: adjust numpy.i for swig 4.3 compatibility,1.1530555555555555
27592,closed,2024-10-18 23:17:50+00:00,2024-10-19 00:32:38+00:00,2024-10-19 00:32:38+00:00,maint: update highway to latest,1.2466666666666666
27587,closed,2024-10-18 09:34:42+00:00,2024-10-18 14:12:49+00:00,2024-10-18 14:12:49+00:00,bld: treat svml object files better to avoid compiler warnings,4.635277777777778
27586,closed,2024-10-17 19:13:01+00:00,2024-10-18 23:10:23+00:00,2024-10-18 23:10:23+00:00,maint: update highway to latest,27.95611111111111
27579,closed,2024-10-16 17:28:35+00:00,2024-10-16 19:19:48+00:00,2024-10-16 19:19:49+00:00,bug: adjust numpy.i for swig 4.3 compatibility,1.853611111111111
27574,closed,2024-10-16 12:44:22+00:00,2024-10-16 14:24:31+00:00,2024-10-16 14:24:31+00:00,"bug: fix warning ""differs in levels of indirection"" in npy_atomic.h with msvc",1.6691666666666667
27571,closed,2024-10-15 20:18:53+00:00,2024-10-15 22:09:32+00:00,2024-10-15 22:09:33+00:00,build: vendor tempita from cython,1.8441666666666667
27570,closed,2024-10-15 20:13:27+00:00,2024-10-15 22:09:07+00:00,2024-10-15 22:09:07+00:00,bld: start building windows free-threaded wheels [wheel build],1.9277777777777778
27569,closed,2024-10-15 19:38:50+00:00,2024-10-15 20:38:58+00:00,2024-10-15 20:38:59+00:00,bug: handle possible error for pytracemalloctrack,1.0022222222222221
27568,closed,2024-10-15 18:36:51+00:00,2024-10-15 20:14:35+00:00,2024-10-15 20:14:36+00:00,build: vendor tempita from cython,1.6288888888888888
27567,closed,2024-10-15 18:21:22+00:00,2024-10-15 19:30:04+00:00,2024-10-15 19:30:04+00:00,bug: handle possible error for pytracemalloctrack,1.145
27566,closed,2024-10-15 17:57:06+00:00,2024-10-15 18:53:27+00:00,2024-10-15 18:53:27+00:00,build: satisfy gcc-13 pendantic errors,0.9391666666666667
27565,closed,2024-10-15 16:40:22+00:00,2024-10-15 17:38:26+00:00,2024-10-15 17:38:26+00:00,maint: use miniforge for macos conda test.,0.9677777777777777
