source,target,weight
DWesl,mattip,31
DWesl,rgommers,11
DWesl,rossbar,4
DWesl,seberg,9
Developer-Ecosystem-Engineering,andyfaff,10
Developer-Ecosystem-Engineering,charris,8
Developer-Ecosystem-Engineering,ganesh-k13,20
Developer-Ecosystem-Engineering,mattip,56
Developer-Ecosystem-Engineering,r-devulap,6
Developer-Ecosystem-Engineering,rgommers,1
Developer-Ecosystem-Engineering,rossbar,26
Developer-Ecosystem-Engineering,seberg,12
Developer-Ecosystem-Engineering,seiko2plus,16
DimitriPapadopoulos,Developer-Ecosystem-Engineering,1
DimitriPapadopoulos,Phlogistique,2
DimitriPapadopoulos,charris,2
DimitriPapadopoulos,dmbelov,1
DimitriPapadopoulos,eendebakpt,1
DimitriPapadopoulos,mattip,1
DimitriPapadopoulos,ngoldbaum,4
DimitriPapadopoulos,panosz,1
DimitriPapadopoulos,r-devulap,2
DimitriPapadopoulos,rdevulap,2
DimitriPapadopoulos,rossbar,13
DimitriPapadopoulos,seberg,20
HaoZeke,charris,1
HaoZeke,mattip,3
HaoZeke,rgommers,4
HaoZeke,rossbar,16
LeonaTaric,charris,1
LeonaTaric,rossbar,1
MatteoRaso,eendebakpt,3
MatteoRaso,rgommers,1
MatteoRaso,rossbar,6
MatteoRaso,seberg,7
Mukulikaa,rossbar,2
SUPERustam,mattip,1
SUPERustam,rossbar,1
WillTirone,mattip,1
WillTirone,rossbar,1
andyfaff,charris,1
andyfaff,mattip,24
andyfaff,rgommers,1
andyfaff,rossbar,9
andyfaff,seberg,2
bashtage,LeonaTaric,1
bashtage,charris,1
bashtage,mlondschien,1
bashtage,rossbar,3
charris,BvB93,2
charris,HaoZeke,2
charris,MatteoRaso,4
charris,Phlogistique,1
charris,WillTirone,1
charris,andyfaff,32
charris,dshintani404,2
charris,eendebakpt,2
charris,mattip,59
charris,r-devulap,3
charris,rgommers,7
charris,rossbar,80
charris,seberg,27
charris,seiko2plus,2
charris,tylerjereddy,2
chethanreddy123,rossbar,1
dhomeier,HaoZeke,2
dhomeier,charris,3
dhomeier,mattip,1
dhomeier,rgommers,1
dhomeier,rossbar,2
dhomeier,seberg,3
dhomeier,tylerjereddy,1
dmbelov,Phlogistique,1
dmbelov,charris,1
dmbelov,rossbar,3
dmbelov,seberg,1
dshintani404,andyfaff,1
dshintani404,mattip,2
dshintani404,rossbar,3
dshintani404,seberg,1
eendebakpt,MatteoRaso,1
eendebakpt,mattip,2
eendebakpt,rossbar,10
eendebakpt,seberg,3
eric-wieser,seberg,1
felixxm,rgommers,1
felixxm,rossbar,1
ganesh-k13,BvB93,12
ganesh-k13,Developer-Ecosystem-Engineering,10
ganesh-k13,HaoZeke,28
ganesh-k13,andyfaff,6
ganesh-k13,charris,7
ganesh-k13,eric-wieser,2
ganesh-k13,markopacak,1
ganesh-k13,mattip,74
ganesh-k13,rossbar,37
ganesh-k13,seberg,46
ganesh-k13,seiko2plus,15
ganesh-k13,stefmolin,1
hawkinsp,seberg,1
hmaarrfk,andyfaff,1
hmaarrfk,charris,1
hmaarrfk,mattip,1
hmaarrfk,rossbar,1
hmaarrfk,seberg,3
jbrockmendel,charris,8
jbrockmendel,rossbar,16
jbrockmendel,seberg,16
jfbu,mattip,6
jfbu,rossbar,3
jfbu,seberg,8
jungaretti,rossbar,2
kraj,rossbar,2
markopacak,rossbar,4
mattip,BvB93,2
mattip,DWesl,2
mattip,Developer-Ecosystem-Engineering,1
mattip,HaoZeke,14
mattip,andyfaff,5
mattip,charris,15
mattip,dshintani404,1
mattip,eendebakpt,9
mattip,ganesh-k13,4
mattip,ngoldbaum,1
mattip,r-devulap,8
mattip,rgommers,7
mattip,rossbar,97
mattip,seberg,50
