number,state,contributor,content,created_at,closed_at,title,labels
27120,open,seberg,"In many places we still use `PyObject_GetAttrString` or `PyObject_GetAttr`.  It would be good to:
1. Ensure we use `PyObject_GetAttr` with an interned string wherever the lookup may be in a performance relevant code branch.  Exceptions are for example:
   - Anything that happens only once, e.g. import time.
   - It may not be worth making e.g. error paths more complicated just to use this. 
3. Use `PyObject_GetOptionalAttr` whenever a possible `AttributeError` is ignored (or all exceptoins, although it's best not to ignore all exceptions).

Creating the unicode objects isn't that fast, I think.  And `PyObject_GetOptionalAttr` can be massively faster if the attribute isn't found because it can avoid the error creation.",2024-08-06 14:11:17,,"PERF,TASK: Audit `PyObject_GetAttr` usages",['sprintable - C']
27109,open,HaoZeke,"Somehow I missed the work on `numpy-config` until I came across https://github.com/mesonbuild/meson/pull/12799 and https://github.com/mesonbuild/meson/pull/12891.

F2PY should also be accessible from `numpy-config` (and then by extension it simplifies the generated `meson.build` files).",2024-08-04 19:26:09,,ENH: Add support for F2PY headers in `numpy-config`,['component: numpy.f2py']
27086,open,jorenham,"### Proposed new feature or change:

Curently, it's allowed to pass some `typing.NamedTuple` instance to e.g. `numpy.empty` or `numpy.zeros`, but somewhere along the way, it gets converted to a vanilla `tuple`:

```pycon
>>> from typing import NamedTuple
>>> import numpy as np
>>> class Shape2D(NamedTuple):
...     height: int
...     width: int
... 
>>> x = np.zeros(Shape2D(width=22, height=7))
>>> type(x.shape)
<class 'tuple'>
```

I think it would be cool if you could have `ndarray.shape` be a named tuple. This way, you wouldn't have to remember which of the shape indices corresponds to the width or height, and use e.g. `x.shape.width` instead.

From a typing perspective, it also makes sense to have the `ShapeType` parameter of `ndarray[ShapeType: tuple[int, ...], DType]` match `ndarray.shape: ShapeType`, in case it isn't exactly a `tuple` but a subtype like `NamedTuple`.",2024-07-31 00:37:19,,ENH: Allow ``ndarray.shape`` to be a named tuple,['01 - Enhancement']
27082,open,seberg,"The power fast-paths use checks like `scalar == 2` to call `square`.  Which was more correct before NEP 50 (but I am sure there were bugs also before), but less so after, if you pass in something like `np.int64(2)` and the array is, say `int32`.

That logic is a bit confusing and diverges it from the ufunc.",2024-07-30 12:58:50,,BUG: Power fast-paths have wrong and confusing promotion logic,['00 - Bug']
27042,open,Zeutschler,"### Proposed new feature or change:

### Motivation
Modern analytical data processing often requires fast and efficient set operations (esp. intersection and merging) on unique and sorted sets/arrays, mainly being row-indexes/-masks of datasets or vectors. As of today, Numpy is not yet optimized for such increasingly relevant use cases. Better performance will lead to saved time, cost and energy - good for everyone.

### Benefits
**Performance:** Additional optimized implementations for set operations on sorted sets/arrays, indicated by an additional ""assume_sorted=True"" (default: False) attribute for the respective methods, will increase sorted-set operation performance by at least ±10x times up to ±1000x and more times for many scenarios, esp. those typical for data processing, where one set is rather small, and the other set is rather large and many consecutive set operations are performed, e.g. OLAP-style queries and point-queries.

**Simplicity:** This would make the use of common 3rd party acceleration methods. e.g. like using Numba, Cython, RoaringBitmaps, sortednp or DuckDB more or less redundant. In addition, subsequent libraries like Pandas could benefit from these improvements more or less 1:1, e.g. for filtering.

**Competitiveness:** Numpy and Pandas are currently loosing relative market share to new and much faster data procession libraries like DataTable, DuckDB, Polars, Vaex etc. The proposed extension could greatly contribute to improve Numpy's competitiveness by faster execution on typical data processing tasks. 

### Implementation
As a template for a reference implementation, the Pypi package [sortednp](https://pypi.org/project/sortednp/) could be used. This library by Frank Sauerburger was built to exactly solve the mentioned performance problems for sorted arrays/sets.

### Sample code to showcase potential performance gains
`
from timeit import timeit
import numpy as np
import sortednp as snp  # see https://pypi.org/project/sortednp/


print(""Numpy performance comparison for set operation 'intersection' ""
      ""actual vs. optimized for sorted sets:\n"")

sizes = [10**x for x in range(2, 8)]
for size in sizes:
    large = np.arange(size)
    small_size = size

    while small_size > 1:
        small = np.sort(np.random.choice(large, small_size, replace=False))
        t_numpy = timeit(lambda: np.intersect1d(small, large), number=10)
        t_optimized = timeit(lambda: snp.intersect(small, large), number=10)
        small_size //= 10

        print(f""Intersect(a[{small_size:,}], b[{size:,}]) actual in {t_numpy:.4f} seconds, ""
              f""optimized in {t_optimized:.4f} seconds.\n\t""
              f""...potential performance improvement {t_numpy / t_optimized:,.0f}x times."")
`




  ",2024-07-25 18:43:06,,"""assume_sorted"" attribute for efficient/fast Numpy set operations (intersect, merge etc.).",['unlabeled']
27038,open,e-pet,"### Issue with current documentation:

I was trying to convert a string '3' to `np.dtypes.Int64DType`. 

My first attempt was `np.dtypes.Int64DType('3')`, hoping that the dtype would be callable which it is not.

Then followed these attempts:
```python
dt = numpy.dtypes.Int64DType
dt('3')  # I was somewhat hoping this would work but the dtype is not callable
np.fromstring('3', dtype=dt)  # ValueError: string size must be a multiple of element size
np.fromstring('3', dtype=dt, count=1)  # ValueError: string is smaller than requested size
np.fromstring('[3]', dtype=dt, count=1)  # ValueError: Cannot create an object array from a string
```

For the latter three calls, I also got a `<string>:1: DeprecationWarning: The binary mode of fromstring is deprecated, as it behaves surprisingly on unicode inputs. Use frombuffer instead` - which I did not understand, because
- '3' is not a binary string
- I did not see a ""binary mode"" flag or anything of the sort

It took me a long time to realize that the deprecated *default optional argument* `sep=''` was causing this behavior. I personally find this highly unintuitive and surprising. (I did not look at this argument at all because I was interested in the scalar case.)

Indeed, `np.fromstring('3', dtype=int, sep=' ')`at least works.

However,  `np.fromstring('3', dtype=np.dtypes.Int64DType, sep=' ')`gives `ValueError: Cannot create an object array from a string` - which I again find surprising.

### Idea or request for content:

At the very least, I would suggest adding a note to the deprecation warning that the binary mode is triggered by the default optional argument `sep=''`, and that passing any other value to `sep` will fix the issue.

In addition, I would suggest adding some comment to the documentation on why passing things like `dtype=numpy.dtypes.Int64DType` does not work.

In addition, I would suggest adding a comment that `np.array(str, dtype=...)` might be what one is looking for.",2024-07-25 13:17:03,,DOC: Improve fromstring documentation & errors/warnings regarding binary mode,['04 - Documentation']
27035,open,champystile,"### Proposed new feature or change:

Today:
When using `numpy.linalg.inv` on a stack of matrix (shape=(m,n,n)), if one in the stack is singular, a `LinAlgError` is raised and all inverse matrices are discarded (even if they are all computed).
If you want to get the inverse matrix of invertible ones, you have to detect the good one first, then execute `inv` on them. As the algorithm used to determine the singular matrices is not clear, I don't know how to be 100% accurate.

Expected:
`numpy.linalg.inv` uses the `_umath_linalg.inv` C function that compute every inverse, with nan matrix for the singular ones. An error flag is raised, catch by a `with errstate...` block. This errstate cannot be override.
To correct this, there could be an additional argument (ie `noerr`) that doesn't ""activate"" the errstate.
The user will have to check after which matrices was not invertible, by checking the presence of nan: 
`np.isnan(ainv).any((1,2))`

One example of a calling to `_umath_linalg.inv` whithout errors can be found in the `cond` function.",2024-07-25 09:08:30,,ENH: Allow disabling error for `numpy.linalg.inv` when one matrix is singular in a stack,"['01 - Enhancement', 'component: numpy.linalg']"
27032,open,jorenham,"### Describe the issue:

The commonly used `@overload` pattern with `_ArrayLike{}_co` parameter types can lead to unexpected type inferences if the return types are incompatible with one another other.

An example of this is the `numpy.dtype` constructor:
It correctly infers `dtype(bool)` and `dtype(int)` as `dtype[np.bool]` and `dtype[signedinteger[Any]]`, respectively.
But in the case that either `bool` or `int` can be passed, e.g as `dtype(int_co)` with  `int_co: type[bool] | tuple[int]`, the resulting type is inferred as `dtype[signedinteger[Any]]`, which is incompatible with `dtype[bool]`.
The correct type in this case would be `dtype[bool | signedinteger[Any]]`.

### Reproduce the code example:

```python
# overlapping_overload_issue.pyi

import numpy as np

x: type[bool]
y: type[int]
z: type[bool] | type[int]

reveal_type(np.dtype(x))  # OK: dtype[bool]
reveal_type(np.dtype(y))  # OK: dtype[signedinteger[Any]]
reveal_type(np.dtype(z))  # WRONG: dtype[signedinteger[Any]]
```

But the last revealed type doesn't include `bool`, i.e. it should have been `dtype[bool | signedinteger[Any]]`.

This isn't limited to only `bool` and `int`; all possible non-trivial unions of `bool`, `int`, `float` or `complex` have this problem, see  https://typing.readthedocs.io/en/latest/spec/special-types.html#special-cases-for-float-and-complex

And this also isn't limited to `dtype.__new__`:
The same issue can be observed with the arithmetic operator methods (e.g. `__add__`) of `numpy.ndarray`, `numpy.bool`, and all subclasses of `numpy.number`, just to name a few.

### Error message:

With Pyright / Pylance, enabling the [`reportOverlappingOverload`](https://github.com/microsoft/pyright/blob/main/docs/configuration.md#reportOverlappingOverload) setting will in such cases result in an error message (unless there's a `# type: ignore` comment), e.g. for `numpy.dtype.__new__` Pylance reports:

```
Overload 1 for ""__new__"" overlaps overload 51 and returns an incompatible type
Overload 2 for ""__new__"" overlaps overload 3 and returns an incompatible type
Overload 2 for ""__new__"" overlaps overload 4 and returns an incompatible type
Overload 2 for ""__new__"" overlaps overload 5 and returns an incompatible type
```

### Python and NumPy Versions:

2.1.0.dev0+git20240724.3df4283
3.10.12 (main, Mar 22 2024, 16:50:05) [GCC 11.4.0]

### Type-checker version and settings:

basedpyright 1.15.0 (pyright 1.1.373)

### Additional typing packages.

typing-extensions 4.12.2",2024-07-24 17:58:48,,TYP: Overlapping overloads with incompatible return types,"['00 - Bug', 'Static typing']"
27029,open,gerritholl,"### Describe the issue:

Multiplying a masked array by 2 causes an unexpected type promotion from float32 to float64 or from int32 to int64.  The same does not happen for regular arrays.

### Reproduce the code example:

```python
import numpy as np

arr = np.array([0, 1], dtype=""float32"")
marr = np.ma.masked_array(arr)
print((arr * 2).dtype)
print((marr * 2).dtype)

arr = np.array([0, 1], dtype=""int32"")
marr = np.ma.masked_array(arr)
print((arr * 2).dtype)
print((marr * 2).dtype)
```


### Error message:

No traceback, but unexpected output:

```
float32
float64
int32
int64
```


### Python and NumPy Versions:

2.0.0
3.12.0 | packaged by conda-forge | (main, Oct  3 2023, 08:43:22) [GCC 12.3.0]

### Runtime Environment:

```
[{'numpy_version': '2.0.0',
  'python': '3.12.0 | packaged by conda-forge | (main, Oct  3 2023, 08:43:22) '
            '[GCC 12.3.0]',
  'uname': uname_result(system='Linux', node='oflws222', release='5.3.18-150300.59.106-default', version='#1 SMP Mon Dec 12 13:16:24 UTC 2022 (774239c)', machine='x86_64')},
 {'simd_extensions': {'baseline': ['SSE', 'SSE2', 'SSE3'],
                      'found': ['SSSE3',
                                'SSE41',
                                'POPCNT',
                                'SSE42',
                                'AVX',
                                'F16C',
                                'FMA3',
                                'AVX2'],
                      'not_found': ['AVX512F',
                                    'AVX512CD',
                                    'AVX512_KNL',
                                    'AVX512_KNM',
                                    'AVX512_SKX',
                                    'AVX512_CLX',
                                    'AVX512_CNL',
                                    'AVX512_ICL',
                                    'AVX512_SPR']}},
 {'architecture': 'Haswell',
  'filepath': '/data/gholl/mambaforge/envs/py312/lib/libopenblasp-r0.3.27.so',
  'internal_api': 'openblas',
  'num_threads': 8,
  'prefix': 'libopenblas',
  'threading_layer': 'pthreads',
  'user_api': 'blas',
  'version': '0.3.27'}]
```

### Context for the issue:

I'm not sure if I understand fully the new rules of type promotion, but I would expect consistency between regular arrays and masked arrays.",2024-07-24 14:15:24,,BUG: unexpected type promotion multiplying a masked array with an integer,"['00 - Bug', 'component: numpy.ma']"
27018,open,1234zou,"### Describe the issue:

I'm trying to compile my Fortran code using `f2py`. For python\>=3.12, the meson backend is now the default. But meson/f2py cannot automatically find the generated .mod files in the current directory. These .mod files could be automatically found for older versions of python and distutils backend. By the way, gcc/gfortran in this machine is 4.8.5.

Thanks for any kind help and suggestion!

Best,
Jingxiang

### Reproduce the code example:
A simple example is shown using two Fortran files and one Python script:

here is a.f90
```
module para
 implicit none
 integer, parameter :: n = 5
end module para
```

b.f90
```
subroutine prt_n
 use para, only: n
 implicit none
 write(6,'(A,I2)') 'n=', n
end subroutine prt_n
```

Compiling commands are
```
gfortran a.f90 -c
f2py -c a.o b.f90 -m test
```
The first command would generate `a.o` and `para.mod` files in the current directory. `para.mod` can be automatically detected for the distutils backend, but not for the meson backend.

test.py
```python
from test import prt_n
prt_n()
```
Assuming that the test.xxx.so is generated (which not True for the meson backend), the result would be `n= 5`.


### Error message:
After running `f2py -c a.o b.f90 -m test`, the error message is
```
Found ninja-1.10.2 at /public/home/jxzou/software/anaconda3/envs/py312/bin/ninja
INFO: autodetecting backend as ninja
INFO: calculating backend command to run: /public/home/jxzou/software/anaconda3/envs/py312/bin/ninja -C /public/home/jxzou/tmp/tmpgljbyueg/bbdir
ninja: Entering directory `/public/home/jxzou/tmp/tmpgljbyueg/bbdir'
[3/6] Compiling Fortran object test.cpython-312-x86_64-linux-gnu.so.p/b.f90.o
FAILED: test.cpython-312-x86_64-linux-gnu.so.p/b.f90.o
gfortran -Itest.cpython-312-x86_64-linux-gnu.so.p -I. -I.. -I/public/home/jxzou/software/anaconda3/envs/py312/lib/python3.12/site-packages/numpy/core/include -I/public/home/jxzou/software/anaconda3/envs/py312/lib/python3.12/site-packages/numpy/f2py/src -I/public/home/jxzou/software/anaconda3/envs/py312/include/python3.12 -fvisibility=hidden -D_FILE_OFFSET_BITS=64 -Wall -O3 -fPIC -Jtest.cpython-312-x86_64-linux-gnu.so.p -o test.cpython-312-x86_64-linux-gnu.so.p/b.f90.o -c ../b.f90
../b.f90:2.5:

 use para, only: n
     1
Fatal Error: Can't open module file 'para.mod' for reading at (1): No such file or directory
[5/6] Compiling C object test.cpython-312-x86_64-linux-gnu.so.p/3fa16a5cf62c3f6199e0fa73eb3f172c17c452f1_.._.._f2py_src_fortranobject.c.o
ninja: build stopped: subcommand failed.
Traceback (most recent call last):
  File ""/public/home/jxzou/software/anaconda3/envs/py312/bin/f2py"", line 11, in <module>
    sys.exit(main())
             ^^^^^^
  File ""/public/home/jxzou/software/anaconda3/envs/py312/lib/python3.12/site-packages/numpy/f2py/f2py2e.py"", line 766, in main
    run_compile()
  File ""/public/home/jxzou/software/anaconda3/envs/py312/lib/python3.12/site-packages/numpy/f2py/f2py2e.py"", line 738, in run_compile
    builder.compile()
  File ""/public/home/jxzou/software/anaconda3/envs/py312/lib/python3.12/site-packages/numpy/f2py/_backends/_meson.py"", line 178, in compile
    self.run_meson(self.build_dir)
  File ""/public/home/jxzou/software/anaconda3/envs/py312/lib/python3.12/site-packages/numpy/f2py/_backends/_meson.py"", line 173, in run_meson
    self._run_subprocess_command(compile_command, build_dir)
  File ""/public/home/jxzou/software/anaconda3/envs/py312/lib/python3.12/site-packages/numpy/f2py/_backends/_meson.py"", line 167, in _run_subprocess_command
    subprocess.run(command, cwd=cwd, check=True)
  File ""/public/home/jxzou/software/anaconda3/envs/py312/lib/python3.12/subprocess.py"", line 571, in run
    raise CalledProcessError(retcode, process.args,
subprocess.CalledProcessError: Command '['meson', 'compile', '-C', 'bbdir']' returned non-zero exit status 1.
```


### Python and NumPy Versions:

python\>=3.12 and numpy\>=1.26

### Runtime Environment:

```
[{'numpy_version': '1.26.4',
  'python': '3.12.4 | packaged by Anaconda, Inc. | (main, Jun 18 2024, '
            '15:12:24) [GCC 11.2.0]',
  'uname': uname_result(system='Linux', node='mu003', release='3.10.0-862.el7.x86_64', version='#1 SMP Fri Apr 20 16:44:24 UTC 2018', machine='x86_64')},
 {'simd_extensions': {'baseline': ['SSE', 'SSE2', 'SSE3'],
                      'found': ['SSSE3',
                                'SSE41',
                                'POPCNT',
                                'SSE42',
                                'AVX',
                                'F16C',
                                'FMA3',
                                'AVX2',
                                'AVX512F',
                                'AVX512CD',
                                'AVX512_SKX',
                                'AVX512_CLX',
                                'AVX512_CNL',
                                'AVX512_ICL'],
                      'not_found': ['AVX512_KNL', 'AVX512_KNM']}},
 {'filepath': '/public/home/jxzou/software/anaconda3/envs/py312/lib/libmkl_rt.so.2',
  'internal_api': 'mkl',
  'num_threads': 64,
  'prefix': 'libmkl_rt',
  'threading_layer': 'intel',
  'user_api': 'blas',
  'version': '2023.1-Product'},
 {'filepath': '/public/home/jxzou/software/anaconda3/envs/py312/lib/libiomp5.so',
  'internal_api': 'openmp',
  'num_threads': 64,
  'prefix': 'libiomp',
  'user_api': 'openmp',
  'version': None}]
```

### Context for the issue:

I'm a developer of the open source package [MOKIT](https://gitlab.com/jxzou/mokit). By using `f2py`, we offer lots of convenient and efficient Python APIs to users in the computational chemistry field. We are grateful for your numpy f2py functionalities. MOKIT source code are mainly written using Fortran, so we heavily reply on the `f2py` to obtain corresponding .so files.

Currently my workaround is to change all `.o` filenames into `.f90` ones in f2py commands, e.g.
```
f2py -c a.f90 b.f90 -m test
```
This is a tiny change for this simple example. But a somewhat big work to do in MOKIT. And this change would make `test.so` contain more APIs than previous. For example, if there are many subroutines in `a.f90`, it will be all embraced into `test.so`. This problem does not exist when the distutils backend is used previously. I do not know whether this is a feature or bug for the new meson backend. I'm wondering if there is any elegant solution.",2024-07-23 17:26:06,,BUG: f2py cannot find .mod files automatically for the new meson backend,"['00 - Bug', '04 - Documentation', 'component: numpy.f2py']"
