login,commits
charris,6589
seberg,2822
mattip,2710
teoliphant,2065
cournape,1525
rgommers,1367
eric-wieser,1239
pearu,1107
pv,817
mwiebe,759
juliantaylor,740
ngoldbaum,612
stefanv,531
njsmith,339
mhvk,329
HaoZeke,312
r-devulap,291
seiko2plus,278
ahaldane,264
jaimefrio,257
bashtage,252
asmeurer,250
eric-jones,248
WarrenWeckesser,244
rkern,242
dependabot[bot],217
mtsokol,213
pierregm,199
shoyer,196
tylerjereddy,181
rossbar,181
melissawm,176
lysnikolaou,175
jorenham,150
jarrodmillman,147
ganesh-k13,144
jayvius,127
DimitriPapadopoulos,120
Qiyu8,119
dependabot-preview[bot],109
matthew-brett,104
F3eQnxN3RriK,94
abalkin,91
czgdp1807,90
eendebakpt,86
wfspotz,73
cgohlke,70
hameerabbasi,68
bjnath,67
linus-md,66
andyfaff,65
Developer-Ecosystem-Engineering,65
larsmans,64
tacaswell,64
Carreau,62
xoviat,60
MSeifert04,58
87,56
ev-br,54
MilesCranmer,54
sethtroisi,53
certik,52
jakirkham,52
alexbrc,52
endolith,50
pentschev,50
mdhaber,49
anntzer,48
madphysicist,48
takanori-pskq,47
luxedo,47
gfyoung,47
BvB93,47
DWesl,46
Mukulikaa,45
mdboom,43
person142,41
bsipocz,40
hmaarrfk,36
agriyakhetarpal,34
kritisingh1,34
serge-sans-paille,33
huard,32
pdebuyl,32
Mousius,32
bharatr21,31
lagru,31
mwtoews,31
dwf,30
m-d-w,30
timleslie,29
ewmoore,28
JuliaPoo,27
liang3zy22,27
zoj613,26
zerothi,25
ericmariasis,25
chanley,25
jbrockmendel,25
chatcannon,24
nouiz,24
hoodmane,24
j-towns,24
anirudh2290,24
arinkverma,23
cowlicks,23
thomasjpfan,23
MarsBarLee,22
fperez,22
cmarmo,22
bmwoodruff,22
ahojnnes,21
trallard,21
hugovk,21
embray,20
xiegengxin,20
rafaelcfsousa,19
tupui,19
rmhowe425,19
lithomas1,19
scimax,19
jjhelmus,18
jsalvatier,18
CloseChoice,18
isuruf,18
pitrou,18
aarchiba,17
Kai-Striega,17
oleksandr-pavlyk,17
timhoffm,17
yashasvimisra2798,17
guan404ming,17
honno,16
astrofrog,16
tirthasheshpatel,15
thouis,15
jonathanunderwood,15
QuLogic,15
yarikoptic,14
tomgreen66,14
panpiort8,14
pierreglaser,14
hawkinsp,14
ogrisel,14
MatteoRaso,14
DhavalParmar61,14
adeak,14
shadchin,13
christophertitchen,13
thrasibule,13
jarondl,13
howjmay,12
xavierohan,12
touqir14,12
jseabold,12
simongibbons,12
rth,12
rolk,12
maxwell-aladago,12
vxst,12
ddasilva,12
bhavukkalra,12
bzah,12
MohitKumar020291,11
prithvitewatia,11
chebee7i,11
Schleehauf,11
sameshl,11
rc,11
NamamiShanker,11
eirrgang,11
lpsinger,11
InessaPawson,11
gerritholl,11
h-vetinari,11
skwbc,10
rainwoodman,10
wrwrwr,10
marload,10
aurivus-ph,10
nschloe,10
fruchart,10
mdubravski,10
katleszek,10
grlee77,10
cfarrow,10
zindy,10
larsoner,10
ericfode,10
zjpoh,9
toslunar,9
stuartarchibald,9
saimn,9
sunqm,9
pradghos,9
undermyumbrella1,9
moreati,9
walshb,9
qwhelan,9
danielhrisca,9
dongjoon-hyun,9
jor-,9
Licht-T,9
bmakos,9
greglucas,8
arunppsg,8
ScoobyP,8
ElDeveloper,8
liwt31,8
rlamy,8
felixxm,8
kianasun,8
Nodd,8
jdufresne,8
rjeb,8
jakevdp,8
insertinterestingnamehere,8
dimpase,8
dlax,8
danielballan,8
cjblocker,8
oscar139,8
bobeldering,8
neutrinoceros,8
Illviljan,7
lesteve,7
molsonkiko,7
mattharrigan,7
Androp0v,7
rsokl,7
sayantikabanik,7
sistaseetaram,7
yashmehrotra,7
Zac-HD,7
aitikgupta,7
WeatherGod,7
b-carter,7
i-am-b-soto,7
bwalshe,7
lorentzenchr,7
cdahlin,7
ddale,7
jwoehr,7
pizzathief,7
1fish2,7
jon-deng,7
kshyatt,7
abhilash42,6
mrocklin,6
pgunn,6
