path,size
.cirrus.star,1842
.clang-format,1133
.codecov.yml,230
.coveragerc,75
.ctags.d,19
.editorconfig,629
.gitattributes,2430
.gitignore,2289
.gitmodules,882
.mailmap,38039
CITATION.bib,896
CONTRIBUTING.rst,658
INSTALL.rst,5351
LICENSE.txt,1543
LICENSES_bundled.txt,974
README.md,3978
THANKS.txt,3251
azure-pipelines.yml,2997
azure-steps-windows.yml,2133
building_with_meson.md,1869
environment.yml,1007
meson.build,3505
meson.options,2646
pavement.py,5115
pyproject.toml,7296
pytest.ini,1215
.circleci/config.yml,5303
.devcontainer/devcontainer.json,322
.devcontainer/setup.sh,485
.github/CONTRIBUTING.md,1660
.github/PULL_REQUEST_TEMPLATE.md,724
.github/dependabot.yml,192
.github/pr-prefix-labeler.yml,377
.spin/LICENSE,1539
.spin/cmds.py,22018
benchmarks/README.rst,4392
benchmarks/asv.conf.json,3451
benchmarks/asv_compare.conf.json.tpl,4129
benchmarks/asv_pip_nopep517.py,498
doc/BRANCH_WALKTHROUGH.rst,2501
doc/C_STYLE_GUIDE.rst,144
doc/DISTUTILS.rst,23073
doc/EXAMPLE_DOCSTRING.rst,3462
doc/HOWTO_DOCUMENT.rst,110
doc/HOWTO_RELEASE.rst,8595
doc/Makefile,7947
doc/RELEASE_WALKTHROUGH.rst,14261
doc/TESTS.rst,14505
doc/conftest.py,942
doc/make.bat,1799
doc/postprocess.py,1305
doc/preprocess.py,1452
doc/records.rst,3385
doc/ufuncs.rst,3931
meson_cpu/main_config.h.in,13856
meson_cpu/meson.build,10127
numpy/__config__.py.in,5146
numpy/__init__.cython-30.pxd,46396
numpy/__init__.pxd,43030
numpy/__init__.py,22139
numpy/__init__.pyi,175139
numpy/_array_api_info.py,10381
numpy/_array_api_info.pyi,4892
numpy/_configtool.py,1007
numpy/_distributor_init.py,407
numpy/_expired_attrs_2_0.py,3903
numpy/_globals.py,3090
numpy/_pytesttester.py,6287
numpy/_pytesttester.pyi,497
numpy/conftest.py,7987
numpy/ctypeslib.py,18878
numpy/ctypeslib.pyi,8146
numpy/dtypes.py,1312
numpy/dtypes.pyi,14798
numpy/exceptions.py,7866
numpy/exceptions.pyi,751
numpy/matlib.py,10657
numpy/meson.build,13758
numpy/py.typed,0
numpy/version.pyi,388
requirements/all_requirements.txt,153
requirements/build_requirements.txt,57
requirements/ci32_requirements.txt,79
requirements/ci_requirements.txt,110
requirements/doc_requirements.txt,395
requirements/emscripten_test_requirements.txt,65
requirements/linter_requirements.txt,38
requirements/release_requirements.txt,317
requirements/test_requirements.txt,608
tools/changelog.py,4520
tools/check_installed_files.py,4015
tools/check_openblas_version.py,494
tools/commitstats.py,726
tools/download-wheels.py,3725
tools/find_deprecated_escaped_characters.py,1916
tools/functions_missing_types.py,3044
tools/lint_diff.ini,250
tools/linter.py,2576
tools/list_installed_dll_dependencies_cygwin.sh,1366
tools/list_numpy_dlls.sh,316
tools/rebase_installed_dlls_cygwin.sh,232
tools/refguide_check.py,18759
tools/replace_old_macros.sed,5706
vendored-meson/meson,0
.github/ISSUE_TEMPLATE/bug-report.yml,2229
.github/ISSUE_TEMPLATE/config.yml,406
.github/ISSUE_TEMPLATE/documentation.yml,878
